,Followers.at.Posting,type_Live Video Complete,Likes.at.Posting,time_difference,prep,WC,focuspast,number,OtherP,Sixltr,article,fnctn,page_category_NEWS_SITE,WPS,Period,Comma,motion,we,time,sec_15,sec_30,sec_60,sec_120,sec_half_day,sec_day,sec_7_days,target,popular
1199,330092,0,334909,83153453.0,14.47,76,3.95,0.0,5.26,44.74,6.58,30.26,0,38.0,3.95,2.63,3.95,1.32,2.63,1,1,1,1,1,1,1,29,0
130296,174322,1,166093,15702848.0,17.07,41,4.88,7.32,2.44,17.07,4.88,43.9,0,13.67,4.88,7.32,4.88,2.44,9.76,1,1,1,1,1,1,1,52,1
66827,364498,0,378226,82449614.0,10.87,46,0.0,4.35,19.57,19.57,8.7,36.96,0,15.33,6.52,0.0,0.0,2.17,6.52,1,1,1,1,1,1,1,13,0
31099,436088,0,454296,32931905.0,14.93,67,0.0,4.48,5.97,26.87,7.46,38.81,0,16.75,4.48,4.48,1.49,0.0,7.46,1,1,1,1,1,1,1,1,0
31662,111032,1,109895,33536349.0,13.33,15,6.67,0.0,0.0,40.0,0.0,33.33,0,15.0,0.0,0.0,6.67,0.0,0.0,1,1,1,1,1,1,1,28,0
91490,101422,0,102830,56017514.0,13.51,37,0.0,21.62,5.41,2.7,5.41,32.43,0,37.0,5.41,2.7,0.0,0.0,5.41,1,1,1,1,1,1,1,3,0
5905,502862,0,508816,90389367.0,10.0,60,0.0,3.33,13.33,16.67,1.67,16.67,0,20.0,6.67,0.0,3.33,0.0,5.0,1,1,1,1,1,1,1,106,1
117484,570353,1,501734,27755296.0,8.7,23,4.35,0.0,0.0,21.74,4.35,34.78,0,7.67,13.04,4.35,4.35,0.0,8.7,1,1,1,1,1,1,1,18,0
43977,1003835,0,995816,48299104.0,17.31,52,0.0,0.0,0.0,15.38,3.85,46.15,0,17.33,3.85,1.92,1.92,0.0,17.31,1,1,1,1,1,1,1,674,1
130495,10689856,0,9428808,15899289.0,16.07,56,0.0,7.14,1.79,26.79,10.71,35.71,0,28.0,3.57,3.57,1.79,0.0,8.93,1,1,1,1,1,1,1,48,1
